Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Common\Common.csproj,File,Common\Models\Shipment.cs,51,32,T:System.Uri,,,,,set;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Common\Common.csproj,File,Common\Models\Shipment.cs,51,27,T:System.Uri,,,,,get;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Common\Common.csproj,File,Common\Models\Shipment.cs,50,8,T:System.Uri,,,,,public Uri Label
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,CuttingEdge.Conditions 1.2.0.0,,,,,"CuttingEdge.Conditions, 1.2.0.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks 6.2.1,,,,,"MahApps.Metro.IconPacks, 6.2.1  Recommendation:  MahApps.Metro.IconPacks, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.BootstrapIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.BootstrapIcons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.BootstrapIcons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.BoxIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.BoxIcons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.BoxIcons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.BoxIcons2 6.2.1,,,,,"MahApps.Metro.IconPacks.BoxIcons2, 6.2.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.CircumIcons 6.2.1,,,,,"MahApps.Metro.IconPacks.CircumIcons, 6.2.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.Codicons 6.2.1,,,,,"MahApps.Metro.IconPacks.Codicons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.Codicons, 4.11.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,File,ShopifyAutoShirtPrinting\ShopifyEasyShirtPrinting.csproj,,,MahApps.Metro.IconPacks.Coolicons 6.2.1,,,,,"MahApps.Metro.IconPacks.Coolicons, 6.2.1  Recommendation:  MahApps.Metro.IconPacks.Coolicons, 4.11.0"
